,missing_values
ID,0
Gain100_Distance10,0
Gain100_Distance15,0
Gain100_Distance20,0
Gain75_Distance10,0
Gain75_Distance15,0
Gain75_Distance20,0
Gain90_Distance25,0
Gain90_Distance30,0
Gain90_Distance35,0
Gain65_Distance25,0
Gain65_Distance30,0
Gain65_Distance35,0
Indicator,0
